CustomerID,frequency,item_cnt,recency,monetary,user_average,unique_products,avg_revisit_days,purchase_intervals_count,min_revisit_days,max_revisit_days,stddev_revisit_days,revisit_pattern,cancel_frequency,cancel_rate,total_cancelled_quantity,total_cancelled_amount,cancel_behavior_type,R_score,F_score,M_score,RFM_code,customer_segment,product_diversity_index,avg_quantity_per_product,predicted_next_purchase_date,revisit_status,risk_level,customer_value_tier
18102,60,61724,4961,256424.5,4273.7,144,14.7,25,1,60,13.1,월간 고객,0,0,0,0,취소 없음,1,5,5,155,휴면 우수 고객,2.4,428.6,12/24/2011,재방문 지연,안전 고객,최고가치 고객
16011,16,1975,4969,3200,200,97,23.9,15,4,51,13.8,월간 고객,0,0,0,0,취소 없음,1,4,5,145,휴면 우수 고객,6.06,20.4,12/25/2011,재방문 지연,안전 고객,최고가치 고객
17690,15,1751,4991,4704.3,313.6,185,26.4,13,1,85,25.7,월간 고객,2,0.79,6,9.5,저빈도 취소,1,4,5,145,휴면 우수 고객,12.33,9.5,12/5/2011,재방문 지연,안전 고객,최고가치 고객
16839,34,8879,4969,16188.7,476.1,112,11.6,31,1,39,7.9,월간 고객,30,10.27,486,1157.37,고빈도 취소,1,5,5,155,휴면 우수 고객,3.29,79.3,12/13/2011,재방문 지연,저위험 고객,최고가치 고객
13089,97,31015,4963,58727,605.4,634,5.6,65,1,20,4.4,주간 고객,39,2.11,283,1439.95,고빈도 취소,1,5,5,155,휴면 우수 고객,6.54,48.9,12/13/2011,재방문 지연,안전 고객,최고가치 고객
13101,1,113,5195,101.2,101.2,8,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,1,111,일반 고객,8,14.1,,예측 불가,안전 고객,중가치 고객
17233,1,131,4996,190.9,190.9,25,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,1,111,일반 고객,25,5.2,,예측 불가,안전 고객,중가치 고객
13986,1,430,4978,320.5,320.5,12,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,2,112,일반 고객,12,35.8,,예측 불가,안전 고객,중가치 고객
14935,1,935,5258,1784.7,1784.7,10,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,4,114,고가치 휴면 고객,10,93.5,,예측 불가,안전 고객,중가치 고객
16468,1,31,5035,74.9,74.9,2,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,1,111,일반 고객,2,15.5,,예측 불가,안전 고객,저가치 고객
16451,1,120,5048,267,267,14,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,2,112,일반 고객,14,8.6,,예측 불가,안전 고객,중가치 고객
16315,1,75,5291,226.4,226.4,14,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,2,112,일반 고객,14,5.4,,예측 불가,안전 고객,중가치 고객
16971,1,72,4999,357.2,357.2,40,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,2,112,일반 고객,40,1.8,,예측 불가,안전 고객,중가치 고객
13485,1,277,5194,454.2,454.2,23,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,2,112,일반 고객,23,12,,예측 불가,안전 고객,중가치 고객
13833,1,117,5120,383.8,383.8,28,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,2,112,일반 고객,28,4.2,,예측 불가,안전 고객,중가치 고객
13878,1,463,5015,1271.6,1271.6,35,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,4,114,고가치 휴면 고객,35,13.2,,예측 불가,안전 고객,중가치 고객
15041,1,101,5131,174.8,174.8,65,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,1,111,일반 고객,65,1.6,,예측 불가,안전 고객,중가치 고객
15709,1,121,5244,133.3,133.3,6,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,1,111,일반 고객,6,20.2,,예측 불가,안전 고객,중가치 고객
13561,1,83,5176,141.9,141.9,14,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,1,111,일반 고객,14,5.9,,예측 불가,안전 고객,중가치 고객
16450,1,200,5110,311.9,311.9,11,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,2,112,일반 고객,11,18.2,,예측 불가,안전 고객,중가치 고객
15576,1,394,4998,921.4,921.4,43,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,3,113,일반 고객,43,9.2,,예측 불가,안전 고객,중가치 고객
12441,1,120,5327,155.6,155.6,10,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,1,111,일반 고객,10,12,,예측 불가,안전 고객,중가치 고객
15886,1,147,5021,181.1,181.1,12,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,1,111,일반 고객,12,12.3,,예측 불가,안전 고객,중가치 고객
17267,2,158,5088,317.2,158.6,37,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,2,2,122,일반 고객,18.5,4.3,,예측 불가,안전 고객,중가치 고객
12764,1,380,5277,1681.3,1681.3,44,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,4,114,고가치 휴면 고객,44,8.6,,예측 불가,안전 고객,중가치 고객
12831,1,135,5223,215,215,9,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,2,112,일반 고객,9,15,,예측 불가,안전 고객,중가치 고객
18222,1,335,5053,443,443,19,,0,,,,일회성 고객,0,0,0,0,취소 없음,1,1,2,112,일반 고객,19,17.6,,예측 불가,안전 고객,중가치 고객
